0,23943,32298,27284,29144,29856,26712,25867,24006,22728,25489,24217,21765,26260,30959,31335,31656,34296,34116,27143,38337,23746,25020,22888,27740,24338,37332,29179,32514,26197,24272,21983,27219,25456,24180,26494,28844,28885,31870,31788,26277,28480,26581,27478,28604,29134,29505,32307,34223,30650,28414,29928,28614,23380,22941,25138,22687,29125,28591,30016,28843,23879,36351,31353,31932,33368,31473,25982,28322,24411,25966,26962,29577,30550,31524,27377,27214,23653,28242,24506,27361,27486,28470,21216,26203,23020,29390,27252,24624,26727,29062,26441,28850,29175,28375,27114,25715,31718,31169,22942,29164,29454,27473,24699,26807,32399,25500,25813,33678,28925,26828,28845,26936,29420,24212,23573,23497,23322,22464,32008,30420,25506,28245,31404,27259,32373,25963,27712,22267,25478,27850,28768,29005,30496,29010,32359,29178,31083,35103,32953,23777,24816,24406,26478,21961,22761,21611,26247,26504,25577,27518,24572,28053,28089,22844,27878,27134,26864,25857,30539,26291,26784,26351,23649,25888,26964,27168,21616,24839,21995,27465,24579,30303,27938,23971,24601,23596,22970,30964,23399,30770,29233,21999,23055,32309,27385,23480,24523,23877,20639,20668,21018,21693,28993,27354,23267,25713,26861,25957,22192,27588,27224,24901,23645,28454,25182,29764,25907,22699,25451,25615,25521,24917,28260,29607,23830,26690,22631,21790,24511,22411,23569,22310,21525,21319,24126,23235,22147,28904,26991,26949,27275,28584,21028,20064,25979,26808,27031,31387,23324,25372,24511,25451,24687,22043,25334,24593,25002,28985,22141,25022,28684,26744,19668,28079,23129,23275,24649,22327,22614,24688,24240,20774,24817,26320,28943,28597,22361,25779,22838,23016,24780,26658,24835,29326,24807,26929,27906,26745,23827,23042,24329,28758,21676,26704,27327,24992,30154,29725,29206,30366,31052,29569,27639,31692,27584,26564,22370,25309,23232,23971,23985
3,24637,29871,26374,26700,27847,24527,24303,21626,22521,23523,22548,20584,24506,30084,29384,28847,31868,31129,24117,34988,21265,23980,20640,26688,24073,34074,27597,30680,24415,22597,20830,27302,23338,21697,24564,26725,28573,29637,29255,23297,25364,25248,25546,27048,26937,26299,30877,31713,27605,26645,26322,25900,21384,22775,23240,20834,28323,27041,27787,27335,22786,33349,29474,28918,31438,28739,23884,25379,22352,24744,24947,27074,29372,29829,26989,25718,23308,26459,22649,24513,23464,26182,20286,24315,21829,27444,25967,23325,23426,26298,25002,26223,25426,25235,24560,24454,28586,28036,20242,27411,27784,25115,22550,26727,30207,22636,22885,29142,26866,24654,26982,23991,27957,23073,22357,21387,22100,21043,28349,27422,25414,26867,29793,25430,29622,24022,23631,19996,23857,25404,27053,27245,28612,27222,29844,25457,29088,33150,30699,22239,23819,21571,24310,20019,21846,19112,22525,25329,23129,24556,21368,24593,25219,20971,24885,23697,24903,21390,26010,22158,23225,24569,21875,24317,24562,24948,18850,24397,20693,26771,24162,26842,26561,22494,23266,21899,22086,28176,20415,25679,26991,19293,22144,29757,25350,21430,22867,21154,19670,18677,19995,20365,24716,23561,20643,23252,25393,24451,20735,25735,27295,22637,21494,28246,24791,27226,24355,21254,24942,24333,24033,23878,26832,29240,23153,24423,20562,19533,22136,21349,22650,20622,20209,19571,22738,20797,20038,26706,24479,24449,24587,26296,20205,18946,24202,26716,24770,30212,22994,24740,23055,24235,23316,21711,24635,24137,22857,25598,22271,22721,26052,25477,20238,25183,21394,22087,22100,21255,22148,22163,23136,20245,23060,25153,28304,26116,22602,25256,20594,21872,22477,23977,22940,26369,22754,24736,25219,24557,22031,21078,22685,26810,21352,23778,24860,24161,28704,26482,26371,26919,28072,26893,25076,27108,26849,25052,21357,24953,22273,22272,24156
6,23480,31627,26207,27059,29398,26057,24684,22456,22123,24731,23381,21432,24858,29511,29913,30243,32635,33630,26048,37723,23202,24034,21652,27212,23456,35490,27912,30519,25220,23146,21167,26447,24101,23369,25288,27357,28533,31254,29780,25127,27236,25227,26843,27631,27452,27970,31988,32775,29535,28300,27732,26795,22490,22302,24324,21512,27937,27713,29067,28227,23278,34732,29245,30790,32881,29699,24572,26940,23337,24849,25323,27577,28927,30313,26214,26331,22803,26332,23373,26170,26411,27752,19877,25479,22220,27177,26428,23993,24365,27553,24514,26783,27595,27228,25074,24597,30330,29447,22417,27339,28320,26089,23391,25496,31485,24331,25336,32326,27542,25395,27591,24913,28614,23457,22413,22630,22074,21927,30724,29152,25492,27228,30705,25530,31659,25012,25867,21551,24896,26022,27762,28345,29450,27438,31496,27212,30144,33636,31937,23587,23816,21862,25353,21308,23172,21848,25210,25093,24678,26610,24018,26654,26669,22211,25744,26497,26582,24983,29201,24854,26472,26171,23580,26062,25485,26294,21406,24501,21714,26474,23275,29113,27256,23254,23273,23519,23098,29270,22191,29018,27909,21375,22620,31710,26393,21950,23652,22857,19853,20091,20976,21304,27335,26093,22172,24526,25444,25340,21342,26176,25684,23766,22351,27417,24573,27366,25782,21898,24652,24906,25004,24392,27203,28840,22698,26435,21460,20499,24651,21446,23554,21021,21344,21400,23371,23092,21238,28163,26684,26023,26270,27534,20289,20823,24836,25453,25314,31127,21632,24419,22745,23658,23991,21574,24664,23748,23983,26763,21484,23650,26910,26412,19538,26251,21889,22100,22877,21305,22420,23746,23344,20520,23561,25546,27223,27165,22378,25408,21399,22892,23503,25555,23592,26962,24552,26295,26164,25459,23448,22552,22438,27760,21487,25391,24996,24658,29338,28558,27495,28745,29142,27526,26115,30242,26038,24437,21527,24256,21720,22516,23717
9,23648,31427,26497,27130,29595,25899,24604,22464,21848,25168,23737,21346,24643,30366,30178,31240,32957,33658,25867,37434,23127,24611,21879,27636,23189,35742,28132,31054,24955,23059,21041,25819,24046,22995,25359,27604,28732,31378,29748,24741,27305,25081,27014,28062,27980,28934,32398,32872,29702,28746,27934,26776,22464,23381,23911,21120,27973,28165,29097,28273,23382,34417,29355,31494,33206,29853,24876,26628,23880,24694,25094,27355,29186,30309,26143,26456,23138,26334,24216,26784,26501,27860,20169,25581,22571,27584,27309,24086,24482,28278,24369,27088,27521,26655,25007,24287,30694,30173,22379,27318,29188,25815,23527,25981,31441,24640,25043,32428,27162,25055,27086,25504,28835,23230,22132,22584,22338,21754,31486,29112,25259,27773,30683,25184,31369,25493,25948,21174,24778,25489,28068,28226,29996,27502,31340,27027,30091,33059,32198,23232,23718,22102,25355,21321,23357,21513,25046,25418,24758,26897,23996,26852,27038,22425,25613,26376,26454,25451,29264,24254,25667,26134,23657,25424,26378,26215,21619,24632,21449,26774,23950,29977,26925,23045,23109,23447,22708,29601,22336,28804,28166,21952,22131,32515,26427,21635,23605,23498,20169,20004,20670,21005,27149,26371,22194,25026,25719,25494,21115,26238,26017,24213,22589,27876,24270,27230,25642,22071,24542,25201,25122,24710,27095,28299,22903,26401,21385,20796,24868,21178,23699,21374,21475,21718,23785,22562,21605,28126,26067,25411,26237,27242,20028,20870,24473,25968,25493,31247,21551,24003,23673,23519,23806,21761,24395,23934,23935,26609,21455,23755,27210,25807,19522,26120,21649,21892,23040,21418,22785,23707,23310,20613,23781,25397,28169,27700,22304,25093,21244,22483,23530,25760,23757,26775,24304,25886,25973,25228,23010,22819,21660,27513,21059,25980,25146,24651,28773,28374,27617,28863,29399,27618,26252,30312,25907,24442,21682,24349,21908,22459,23586
12,23849,31130,26196,27990,29808,26478,24734,22419,21719,25114,23144,21115,25124,30813,30529,31536,32708,33969,26110,38117,22957,24275,21707,27538,23413,36006,28832,30825,24378,22918,21055,25938,23920,22927,25172,27510,28657,32150,29879,24808,27079,25442,26651,27833,27253,28738,33277,32974,29408,28680,27820,26659,22277,23431,23384,20991,28486,27785,29502,28461,23222,34450,29234,31360,32537,29604,25408,26244,23925,24909,25184,27321,29453,29358,25752,26110,23232,26249,24447,27250,26805,27574,19879,25873,22243,27118,26507,23722,24000,28074,23856,27274,28272,26029,24501,24035,31301,30016,21810,27260,28788,25478,23470,26034,32220,25029,24542,33063,27232,24810,27405,25381,28986,23142,22352,21917,23179,21683,31710,28378,24958,28434,30942,25571,31016,25411,25829,20791,25163,25137,28047,28249,30162,27817,31355,27057,30404,33434,31995,23105,23916,21723,25257,21314,23272,21083,25682,26174,24074,26808,23801,26771,27400,22716,26198,25519,27030,26221,29991,23697,25894,25527,23732,25824,26021,26071,21651,24943,21323,26766,23992,30038,26593,22879,23657,23212,22462,29641,22257,28330,27903,21774,22280,33054,26313,21216,22945,23220,19985,20071,20389,20706,27145,26333,21879,25079,25409,25528,21337,26520,25980,24203,23176,27879,24098,28212,25594,22290,24641,24836,24730,24859,27329,28628,22537,26279,21321,20315,25047,21447,23306,21310,21320,21274,23363,22364,21088,27873,25983,26094,27223,26669,19790,20814,24252,26304,25813,31700,21608,23616,23533,23437,24010,21716,24231,23662,24232,26666,21148,22816,27383,25060,19514,25925,20985,21342,22706,21491,23118,23319,23557,20635,23710,25424,28347,27698,22126,25304,21252,22447,23496,25104,24264,27130,24238,25448,26406,25248,22702,22909,21559,27358,20969,26123,25302,24755,28613,28317,27400,28561,29348,27795,26014,31180,26229,23540,21590,24350,21998,22381,23792
15,22699,29717,26451,27052,28810,26425,23896,21798,21289,24872,22099,20367,24982,30278,30271,30104,31675,33093,25638,37758,21935,24094,21024,27315,23592,35731,28478,32033,22775,21732,21130,25236,24001,22781,24005,26592,28564,31042,29775,23683,26753,24932,25683,27434,26925,29084,33269,32738,28885,28078,26691,26167,22215,22311,22598,19722,28385,28501,28990,28039,23160,34457,28797,30645,32841,29144,24808,25256,23080,24959,24639,26629,29524,28652,25446,25801,22676,25770,23703,26710,25973,27088,19723,25320,21312,26795,26182,23753,23741,26547,24017,26590,27074,24889,24215,23223,30978,29827,21464,27214,27581,25449,23243,26000,31342,25078,23948,32581,26188,23353,26294,24851,28149,22643,21684,21961,22933,21396,31163,28809,25056,27909,30682,25060,30551,24564,25525,20593,25097,24823,28058,28241,29209,27586,31855,26157,30021,32793,32160,22738,24183,20926,24846,20951,23086,20975,25712,25824,23300,25669,23294,26302,26944,22509,25463,24164,26385,24954,29515,24655,25059,25196,23358,24716,26074,25482,20911,24635,21716,26707,24030,30251,25764,22629,23913,22661,21996,29157,21474,27338,27197,21004,22101,32177,26216,19767,21650,23128,19786,19400,19474,20193,27046,25843,21263,24352,25047,24788,20761,26348,25537,24456,22212,27612,24249,27451,25338,22361,24399,25093,24277,24926,26714,27859,21925,25437,21457,20463,24219,20886,23459,21059,21078,21412,23390,22648,20951,27615,26005,25438,26170,26173,19323,20172,24336,25534,24883,31168,21093,23149,23453,22827,23448,21720,24020,23519,23294,25853,21259,22368,27572,24689,19086,26120,19722,20580,21636,21010,24131,22672,22814,20098,23057,24880,27692,27316,21939,25764,20742,21818,24407,24786,23311,26606,23305,24956,26285,23781,22796,22102,21544,26678,20978,25090,25363,23538,28356,28574,27182,28055,28492,27481,25712,31157,25775,22763,21233,23815,21705,21797,23306
18,22530,29354,26404,26887,29499,26359,24125,21736,20953,25190,21352,20493,24231,29930,30444,29618,31397,32503,26045,37812,21798,24113,20989,26968,23174,35334,28695,32302,22797,21939,20627,24898,23936,22259,23935,26066,28799,30341,29201,23317,26624,24419,25827,27571,26665,29160,33777,32639,28729,28470,26557,26105,22096,22070,21590,19760,28118,27951,29364,27980,23173,35025,28429,30552,31957,29341,24045,24964,23445,24719,24418,26046,29551,28309,24907,25686,22290,25677,23377,26727,26198,26686,19667,25525,21051,25942,25812,23772,23752,26092,23967,26982,26991,24349,23841,23216,31257,29863,20882,26781,27119,24627,23075,25884,31123,24565,23729,32915,26999,23147,26288,25039,27701,22472,21394,21633,22951,21284,31406,28104,24630,27690,30230,25405,30181,25264,24425,21002,24529,24716,27802,28264,29184,27840,31881,26311,29861,32932,32205,22318,23526,20569,24420,20884,23481,20935,25539,25887,23296,25365,23052,26487,26671,22500,24596,23583,26368,24799,29360,24864,24946,25105,23244,24788,25983,24984,21062,24435,21471,25909,23702,29728,25501,22296,24363,22095,21496,29224,21328,26367,27043,20703,21947,32233,26024,19340,21577,22927,19615,19415,19517,19500,26664,26004,21136,23712,25296,24954,21025,26153,25286,23892,21683,27431,23708,28126,24720,22200,24596,24960,23661,24359,26098,28270,22048,25181,21031,20527,24993,20639,23782,20915,20786,21140,22962,22759,20619,27146,25726,25657,26270,26085,19462,19657,24305,25112,24946,31284,20607,23116,23125,22828,23469,21688,23765,23900,23085,26013,21182,22354,27339,25074,19278,25866,19326,20602,21041,20368,23885,22815,22634,19945,23386,25004,27963,27781,22148,25674,20552,21682,23724,24277,23755,26387,23488,24605,26073,23338,23601,21611,21679,26440,20927,25136,24821,23244,28077,27876,27646,28203,27962,27813,25515,30900,25718,22799,21027,23626,21979,21631,23370
21,21958,29333,26316,26619,29669,26015,24151,21578,20651,25024,20512,20620,24571,30026,29416,29843,30828,32110,25276,37740,21798,23708,20478,26469,23075,34831,28260,32624,22462,21196,20214,25141,23900,22256,23840,25854,27840,30227,28985,23953,26330,24452,25649,27350,27196,29580,32834,32931,28527,27931,26442,25570,21497,21636,20792,19359,27734,27788,28736,28163,23495,34063,27725,31015,31655,29016,23473,23865,23461,24969,24542,26034,29399,28092,25283,25593,21927,24873,23562,26189,25355,27061,19662,25329,20665,25854,25540,23192,23022,26075,23816,26848,26449,24079,23514,22749,31551,29070,20246,26337,27519,23882,23184,25831,31147,24586,23181,33182,27014,23087,25418,24897,27443,21996,21099,22019,22518,20756,30409,27864,24817,27336,29825,25018,29497,25267,24522,20894,24073,24808,28133,27874,29351,28111,31801,26251,29222,32980,32474,22288,23307,21072,25112,20958,22955,20624,23972,26447,23534,25077,23110,25768,26246,21766,23889,23022,25858,24112,28763,24705,24863,24967,23009,24306,25848,25383,21014,24326,21683,25875,23745,29790,25337,22091,24025,22245,21431,28913,20888,25907,26839,20739,21652,32313,25765,18836,21090,22766,20105,19068,18987,19804,25896,25422,21150,22972,24785,24744,20863,26486,24891,23553,21187,27601,23447,27776,24376,22312,24535,25340,23493,23939,25983,28248,22129,24742,20978,20802,24643,20627,23125,20915,20492,20938,22966,22743,20594,27174,25209,25649,25650,26013,19293,19648,23828,25473,24679,30860,21004,22551,23670,22627,23570,21484,23134,23992,22781,25637,21569,21483,27146,24877,19052,26078,18197,19607,19955,19799,23777,23647,22487,19844,23152,24823,28022,27502,21540,25946,20305,21565,24121,24161,23959,26556,23154,24206,25527,22089,22915,22323,21907,25980,20610,24261,25175,22940,27948,27375,26682,28179,27965,27745,25327,30977,25811,23136,20656,24069,21981,21427,24088
24,21785,28393,27067,26676,29507,25131,23709,21396,21222,25072,20596,19964,24346,29614,29749,29359,30473,31827,25090,37345,21182,23407,20158,27333,22826,34744,27389,32650,21937,21048,20005,24911,23495,22526,23854,25367,27620,30163,28950,24037,25384,24287,25647,27652,26852,28701,32774,32036,28269,27943,26214,25173,20986,21027,20640,19541,27795,27280,28759,28423,22912,34414,28238,30360,31095,28865,23061,23916,22826,24940,24424,26129,29419,27569,24535,25643,21513,24835,23310,26173,25322,27447,19548,25170,20458,25808,25588,23216,23430,25493,23811,25940,26067,23266,23273,22386,31477,28909,20256,26220,27709,23221,22302,25050,31227,24377,23178,32808,26695,22833,25417,24438,27358,21873,20932,21642,22154,20387,30121,28186,24036,27723,29178,25409,29138,25080,23618,20474,24176,25281,28053,28106,29384,27638,31343,26307,28564,32708,32102,21877,23489,21324,24668,20698,22458,19783,23432,26592,23558,25316,22763,25236,26151,21086,23941,22958,25300,23769,28410,23918,24723,25318,22454,24565,25486,25244,20974,24322,21564,25867,23070,29508,25005,21462,24874,22553,21381,29412,21018,25572,26454,20607,21414,31780,25402,18866,21099,22549,19563,18874,18926,19606,26363,24886,21035,23212,24160,24444,20780,25780,24576,23334,21057,27350,23033,27916,23746,22082,24600,25320,23401,24109,25575,27844,22114,24057,20593,20338,25149,20519,22962,21196,20025,20306,22662,23233,20140,26133,25285,25461,25321,25828,18984,19622,23190,24982,23522,30461,21154,22254,23446,22606,23073,21554,22923,24302,22942,25760,21572,20831,26301,25126,19360,25971,17878,18739,20053,19589,23305,23127,22309,19727,23022,24368,28462,27066,21830,26105,20417,21414,23435,23732,23200,26165,23219,24067,25535,21832,22799,22317,21829,25942,20781,24387,24415,22781,27337,26345,26158,27960,27735,27505,25835,31316,25986,22864,20540,24020,21843,21449,24482
27,21384,28522,27065,26181,29179,24424,23846,20840,21077,24498,19943,19941,24001,28965,29719,28722,30642,31029,24198,36692,21019,22992,20034,26950,23008,34598,26675,31862,21285,20841,19602,25314,23739,22394,23158,25446,27230,30177,29281,24092,24861,24841,25457,27812,26656,29564,32805,31575,27979,28009,25980,25021,20532,20528,19996,19249,27879,27429,28235,27937,23410,34296,28717,29541,31735,29263,22876,23812,22359,24840,23637,26102,29527,27329,23923,25500,20814,24718,23333,25805,25137,27335,19397,24754,20223,25101,25034,23077,23705,24736,23849,26264,25690,23161,23174,21741,31509,28384,19724,25713,26964,22817,22122,25185,32507,24267,22772,32163,26178,22389,24720,25254,26728,22348,21664,20757,21260,20325,30101,27486,24102,27317,29385,25370,28309,24994,23327,20624,23641,24977,27906,27762,29058,27467,31504,26902,28365,32701,31999,22063,22957,21855,24658,20253,22113,19936,23750,26153,23221,25196,22438,25548,25854,20837,23078,23111,24512,23149,28759,24073,24639,25035,22199,24143,25200,24816,20413,24095,21889,25501,23436,30209,24871,21499,25066,22187,21150,28972,20780,24604,26359,19990,21371,31533,25065,18311,21274,22704,19616,18943,19032,19831,25872,25216,20987,23567,23535,23958,20698,25521,24021,22847,21260,26351,23151,28707,23926,21963,24646,25193,23894,23834,25001,27396,21694,23214,20274,20645,24377,20253,22754,20690,20024,20063,22613,22518,20092,25712,24739,25269,24670,25365,18808,19419,23141,24724,22902,30256,21033,22191,23003,22862,23039,22006,22441,24552,22113,25446,21069,20465,26575,24929,19008,26076,17288,17730,19918,19176,23039,23346,22005,20153,22849,24452,29070,26626,21888,26227,19913,21483,22788,23097,23310,25758,22198,23963,25780,20903,22190,22215,21675,25772,20683,24546,24154,22665,27250,26259,25800,27759,27704,26765,25590,31272,25893,22807,20357,23798,21351,21269,24082
