0,29567,30297,29279,29768,24045,24056,26457,29024,29642,28733,27115,23461,28367,29555,32998,28685,24852,25004,24828,26458,29680,25964,24196,23300,30604,29223,24045,29825,27612,28931,32387,24437,24524,21809,26630,25380,27674,24613,26514,22963,22307,27822,27963,28802,30227,28915,28144,30782,30653,26311,32374,23485,28264,29569,29017,27204,25857,31306,28874,27848,26974,27028,26646,27214,25041,27155,30736,28385,26223,30283,26034,25545,30515,28967,32200,30661,26286,26149,27850,21764,22788,23022,24887,27976,22436,25086,24502,23010,25996,27548,26595,25604,24760,26206,25627,31017,29997,29769,25169,26774,28756,28441,27973,19381,25152,21535,24146,25146,20781,21337,21548,23601,25253,24923,26109,23110,26022,25987,23021,24005,26975,22175,21586,19074,20815,22568,29316,24718,27445,28241,26418,23639,26381,20930,20018,21798,27035,22633,20215,24532,24190,25116,24091,24803,20532,21118,20769,19566,21061,25412,23418,23680,22074,19363,23511,26425,25444,22038,20301,20114,21316,21874,21389,22090,20380,24087,25745,21138,21425,21687,22021,22367,23790,21821,25844,25737,24950,21389,20984,25051,23692,23756,22758,24241,21701,22367,26312,26565,22780,27173,32771,28590,28508,24405,27270,26175,34575,31761,29544,30325,28970,27842,28514,24501,26573,27323,23641,26878,22564,25544,26134,23922,24717,29687,22717,25894,28050,21804,20548,26133,22973,23133,23337,31751,30040,22239,24310,23848,22197,23843,23329,23459,23030,29929,20602,22597,22229,21662,23394,20728,27347,20461,22059,21675,21959,28188,23889,22904,25512,31035,25559,27984,21424,24353,21973,27530,19054,23644,24429,25133,20169,21477,21384,21461,17995,22352,20893,25922,26844,23704,24615,30678,26659,24415,24996,28129,24932,26232,25611,27085,25420,24400,25070,21214,20454,22602,21887,23686,28940,27156,29269,26158,27485,25077,26429,26727,30003,31080,30137,28990
3,14619,13341,17945,13846,17349,16648,18784,19847,17450,17490,15050,12938,14606,9972,12727,17712,15284,14617,17654,18967,19995,15134,15399,14680,18517,16660,16392,13734,15653,17245,19422,18065,14985,12175,12333,15029,13227,12576,16969,14147,13381,13317,10580,19358,16581,18707,17853,17027,18670,18570,16737,14324,13178,18495,18475,18884,13597,15952,17616,18442,16202,16151,14857,17679,15768,20140,18745,18845,11726,14065,17854,19970,21216,12530,17387,12596,18143,9020,12382,16807,16000,15156,13302,20394,10332,11080,15354,13125,11157,11736,15133,12638,8900,15627,15619,15496,19498,15129,8825,13206,14999,15364,13551,14557,15061,13727,14813,16106,11761,9968,15460,13188,15305,15439,16074,16530,17270,16146,17157,13860,12373,11448,11293,15604,9512,14581,18121,16098,17089,18204,18737,15477,14689,14173,10062,15161,16294,13213,12929,16022,16060,10896,8466,14085,10362,13577,14576,12622,14343,13113,13343,10044,12836,14631,10843,15261,16484,11827,10912,12002,13217,11935,10519,13596,15166,16500,18551,15197,10172,12192,11220,11535,14648,14326,15509,18376,13876,10337,15093,11013,15512,16795,13463,13419,14207,13508,15652,20444,18208,17905,19557,21636,19420,16687,19121,14532,20936,21240,19260,19066,17748,17339,17744,12065,15181,15686,18182,14439,9944,14984,18058,16518,16563,17073,14880,18522,19428,14924,10967,16158,16220,13659,20602,20290,19351,18696,17402,16483,17310,17696,17266,16849,19699,18484,17282,17555,16843,16009,17986,16385,18189,14981,9348,14650,14438,16055,11024,16752,16085,14659,21472,21173,19185,24252,19344,20402,9265,11595,14144,10542,12904,13266,13998,13475,13084,14335,13486,12668,11907,15891,14604,11071,13566,12693,14305,13560,13025,15150,11634,15327,15355,15062,15728,15117,12031,13821,12831,13295,11470,11290,11864,10275,13320,15001,16408,17053,18954,14011,9612,14087
6,23686,24197,24230,26362,21922,22638,22950,25724,24610,23429,24541,20347,24691,23937,29557,23779,23059,21868,23901,22104,26489,23475,20429,21408,26530,24577,21434,25701,23602,25336,27950,21761,21198,18222,21739,21355,24119,20302,23785,19227,20426,23539,24085,23371,24831,25571,26645,26097,29733,22739,29343,24486,24412,25727,23105,25067,23915,28605,26416,24628,22933,24965,25352,22717,21320,25828,26209,24875,22424,24626,21927,22028,27152,23508,27339,23977,22219,22291,25358,18745,19909,20956,21764,23606,19989,21659,22045,19684,22986,24840,23978,21415,21511,23509,22578,27603,26090,25729,21304,23656,27104,25406,24990,17556,22308,19070,19562,21485,18115,18167,17657,20321,21233,20790,22049,19753,22070,21877,19317,21152,25126,20245,18746,17160,17269,18832,25323,20825,23871,23475,24045,20112,24405,17405,15865,19624,23749,21361,17924,22473,21472,24381,19908,21294,16158,16865,19031,18481,18718,22004,21282,20971,18471,16633,20346,24275,23381,19609,17954,17065,19022,18843,19879,19902,18745,20529,23624,18959,19242,18975,20497,19801,22725,18569,21154,23275,21938,19095,18258,22485,21408,20034,20636,23133,20176,21610,22924,23366,20727,24474,29444,23546,24336,21184,23446,22178,30623,28356,23710,23645,23457,23458,26598,21620,24195,22866,22267,25327,17474,22412,22554,22833,20841,27486,18783,24470,26744,19516,20325,21562,20886,21556,21984,28214,25209,20820,21441,19034,19562,21539,20985,21964,20234,27167,19507,21641,18236,18007,21776,18931,23503,18733,20132,19440,19699,24871,20614,19523,23258,27345,23103,25054,18923,22720,20125,26584,17456,18963,20704,20652,18682,18354,17221,18252,16754,18294,16795,21141,22350,20180,21555,26948,23711,21152,21210,24196,22927,24334,22340,23508,21565,21335,22561,18171,17252,19489,19517,21116,23577,24981,24294,21820,22297,20927,23276,24697,25685,28032,24308,23370
9,20350,21210,19962,21832,19809,20293,20463,23561,21303,19526,21572,18480,21692,20798,26039,21093,21071,19116,21260,18833,24629,20492,17102,19473,24013,20904,19308,23120,20336,23172,24897,19859,17719,16313,19100,19176,22130,17371,20875,16989,17447,20848,20211,19805,21265,23106,24358,24212,26683,19418,26440,23964,21209,22590,19848,22562,21625,25908,23901,21337,20273,22277,22812,20017,18751,23477,24007,22182,19154,20566,19483,18533,24531,20534,23335,21637,18802,20675,22784,16246,17813,18990,18901,19711,17709,19103,20133,17540,20028,22968,21732,19255,18790,19970,19638,23911,23144,22613,18799,21846,24931,22145,22173,15845,19704,16154,16470,18192,15527,16002,14971,17867,17745,17870,19181,17522,18736,19421,16371,19015,22643,18695,17333,15649,15288,16917,20856,18502,21417,20343,21661,17994,21477,14598,14114,17432,21699,19882,16221,20338,18927,22771,17459,18759,13946,14274,17399,16832,16870,20089,19552,18722,15511,14622,18748,21010,20998,16930,15818,15337,16438,16298,18511,18045,17160,19032,21135,17111,17906,16442,19155,17819,19712,15977,18267,19801,20732,16933,16342,20288,19717,17290,18465,21026,18343,20000,20377,21250,18492,21782,26525,20737,21580,19792,20639,19539,27224,25552,19576,19594,20982,21672,25120,19899,21943,19919,20391,23262,16084,20990,20049,20489,17452,22962,16450,21515,24460,17383,17991,19271,18870,20305,20800,25438,22398,18984,19051,16041,18132,19481,18601,19296,17504,24514,17894,19157,15429,15743,19380,17335,21265,16912,18036,18099,17690,22114,18516,17615,20225,23110,20043,22416,17396,20493,17734,23524,15653,16065,18449,18951,16776,16946,14881,15964,14674,15790,14269,18849,19426,17715,19010,23449,21441,19645,19228,22644,21567,22133,20127,20511,19147,19796,20263,16420,15340,17899,17541,19618,20502,21533,21102,18702,18834,18542,20312,22076,22093,25364,22259,20342
12,16721,17787,16118,17897,17840,17956,17334,21025,18170,15723,18027,16039,18125,17746,22137,18299,19090,16334,18333,15593,22471,17736,14125,17206,21145,17951,17412,20212,17524,20724,21090,17553,14663,14247,16030,16432,20024,14741,17728,14747,15336,17768,16868,16003,17221,20904,22003,21999,23499,17001,23236,22455,18892,19133,16166,19651,19539,23156,21897,18749,17641,19485,20137,16486,16732,20871,21098,19385,15812,16814,17048,15674,21524,17780,19220,18669,15548,19047,19792,14041,15591,16572,16726,16175,15509,16469,17886,16237,17455,20364,19799,17131,15820,16793,16879,20687,20295,19977,16738,19394,22807,18642,19595,14103,17355,13416,14124,14982,13045,13835,12618,15450,14791,15078,16805,15326,16728,17333,13590,15902,20440,16837,15071,14391,13416,14406,16827,16064,18704,17374,19154,15665,19094,12020,12039,15144,19474,17371,14592,18499,16257,20775,15268,16189,11295,12378,15730,15621,14967,18040,17814,16668,12985,12515,16791,17562,18483,14248,13477,13590,13702,13870,16593,15903,15892,16662,18232,15290,16262,14439,17221,15622,16418,12981,14694,16733,18695,15115,14690,18246,18201,14295,16611,18925,16850,17408,17534,18770,16116,18633,23021,18160,18966,18340,17461,17186,23711,22848,15810,15993,18050,19096,22791,18248,19477,17167,18606,20490,14518,19523,17245,18002,14313,19103,14071,19031,22094,14722,16212,17232,16911,19037,19390,21816,19735,16607,16872,13301,16508,17072,15773,16017,14521,21028,16237,16316,12516,13458,17072,15253,18107,15128,15648,16513,16206,19061,16303,15731,17248,19125,17333,19330,16332,18561,15541,21471,14284,13768,16292,16747,14846,15403,12871,14030,13167,13892,12105,16556,16336,15596,16434,20224,18294,18187,17062,20780,18816,20428,17374,17856,16206,17381,17754,14791,13798,15682,15607,18003,17918,18626,17775,15651,15175,16057,17013,19769,18932,22490,19594,16978
15,12123,14037,13131,12276,15069,15255,13653,16773,13403,11048,14178,13496,13515,13544,16892,14256,15667,12914,14727,12413,19598,14894,10791,15132,16676,13725,14754,16313,13380,18144,17202,14800,10849,11581,12794,13811,17358,11819,13502,11711,12797,13345,13064,11571,12892,17034,17776,17827,19232,14277,18618,19052,15468,14833,12791,15404,16444,19158,17401,15367,13916,15101,16306,12110,14361,17155,17171,15715,11944,12141,14872,11452,17569,14404,13925,14383,11982,15589,15154,10984,12853,12902,12433,12700,12496,13568,14989,14042,14268,17352,17437,14143,12411,12019,13892,16641,16481,16042,14226,16558,19220,14708,16295,11681,14456,10620,11983,11417,10923,11624,10593,11761,11550,11262,14216,12925,14429,14610,10884,13072,16314,14419,12548,12666,10858,11056,12064,13357,15187,13440,15364,12383,15284,9186,9773,12354,16135,14141,12067,15203,13222,16844,12510,12660,8209,10113,13216,13385,12051,15303,15183,13355,10245,10612,13284,13034,14988,10521,11091,11892,10544,11534,12890,12752,13174,13778,14842,12424,13803,11740,14539,12767,12169,9764,11026,12303,15744,12133,11467,14780,16314,10764,14082,16135,15065,14259,13511,16037,13375,15006,17750,14520,15560,15544,13392,14020,19924,18735,12183,11340,14681,15542,20993,15972,17118,13114,15399,16420,12604,16364,13410,15126,11304,14166,11324,16402,18774,11853,13910,14127,13384,15610,17269,17386,15668,14056,14345,11056,13777,14471,12983,12834,11196,17167,14730,12820,9969,10416,13671,13086,14932,12479,12199,14661,13702,15095,13237,13942,13539,13958,14203,15232,13905,16034,13014,18264,11655,10799,13968,13333,12427,12908,11424,11817,11061,11568,9907,13220,12950,13219,14128,15140,14236,15283,14254,16975,15117,15990,13403,13569,12811,14234,14785,12446,11959,13366,13304,15666,13102,14086,13945,11127,10918,12905,13609,15542,14841,16956,16711,12637
18,10582,13457,11964,10688,14089,14098,12435,15672,11745,9811,12646,12860,12210,12173,15011,12947,14354,11545,13342,12165,18344,13892,9694,14806,15546,12713,13867,15540,12098,17587,16053,14116,9824,10352,11879,13045,16609,11157,12208,10960,12148,11950,11627,10312,11994,16295,15904,16085,18056,13601,16992,18718,14492,14131,12071,13827,15665,17983,16318,14760,12806,13751,14687,10576,13495,15644,16037,14816,10952,10827,14370,10402,15896,13527,12497,13557,11146,15047,14386,9879,12389,11597,10925,11731,11518,12828,13942,13975,13156,16608,16693,13691,11496,10681,13115,15269,15614,15103,13665,15888,18342,13422,15686,10834,13521,10010,11325,10780,10437,10901,9781,10196,10999,10457,13455,12298,14050,13277,10144,12392,15193,13345,11783,11756,10032,10079,10679,12261,14426,12406,13841,11075,13746,8728,9174,11871,14881,12802,11484,14356,11906,16016,11124,11754,7382,9566,11824,12802,11009,14709,14685,11914,9717,9939,12393,11652,13504,9683,10875,11233,9702,11013,12155,11707,12414,12543,14131,11490,13281,11338,13579,11885,10920,8826,9728,10987,14698,11496,10794,14088,15594,10534,13762,15716,15048,13065,12259,15372,12687,13759,16196,13744,14954,15055,11860,13311,19356,17692,11392,10046,13396,14130,19892,16289,15867,12266,14684,14999,12008,15272,12421,15277,10765,12567,10503,15392,17388,10757,13009,13321,12340,14679,16393,15709,14527,13046,13638,10526,13432,13569,12353,11643,10067,16245,13970,11877,9272,9672,12703,12668,13559,11954,11640,13751,12515,13518,12886,13084,12415,12878,13519,14244,13304,14926,12371,17579,10884,10198,13560,12417,11343,11992,11200,11163,10742,11648,9461,12369,12129,12629,13850,13264,12693,14656,13291,15513,13548,14531,12067,12384,11930,13106,13688,11674,11470,12417,12913,14678,12285,12798,13313,9637,9495,11733,12408,14857,13216,14961,15574,11813
21,9527,13612,11775,10016,13746,13128,11920,14629,10774,9120,12235,12669,11524,11517,13457,11812,13573,10398,12914,11964,17281,13717,9238,14774,15288,12164,13475,14942,11309,17046,15985,13531,8969,9968,11707,12673,16715,10949,11505,10244,11835,10954,11353,9257,11728,15303,14470,15274,17021,13353,15648,18072,13625,13636,11408,12754,15010,17342,15674,14403,12306,12215,13771,9676,13445,14697,15518,13903,10209,10491,14259,10022,15083,12765,11355,12958,11041,14806,14246,9675,12005,10907,10005,11412,11532,12138,13022,13371,12596,16206,15806,13039,10978,9822,12480,14005,14671,14326,13587,14887,17653,12579,14554,10203,13212,9866,11007,10447,9781,10073,9462,9185,10668,10004,13066,12042,14190,12562,9602,11939,14835,13024,11090,11936,9647,9453,10218,11667,13644,11704,12564,10275,13174,8428,8832,11256,13885,11565,10883,14287,11457,14925,10771,10988,6926,9141,11489,12790,10535,14583,14520,11094,9612,9509,12112,10744,12253,9363,10748,10944,9075,10527,11560,10933,12225,11608,13321,11095,12710,11000,12998,11451,10242,8391,9172,10297,14131,11245,10000,13806,14575,10039,13192,16007,14489,12425,11798,14603,11943,13220,14673,13425,14375,14420,10799,12181,19251,16571,11261,9598,12910,13349,19664,15866,15545,11822,13878,13958,11839,14286,11582,15217,11041,11958,10073,15436,16466,10115,11785,13088,11567,13668,15700,15511,13719,12684,13665,10359,12792,12828,11978,11198,9529,16011,13501,11149,8958,9143,11862,12362,12781,11650,11013,13585,11949,12699,12482,12418,11961,12082,13140,13670,12811,14618,11575,16664,10374,9982,13680,11403,10541,11404,11331,10724,10243,11495,9440,11686,11792,12231,13056,12330,12507,14341,12784,15136,12177,13842,11368,11679,11223,12670,13455,11406,11054,12268,12549,14332,11495,11813,13012,9068,8848,11790,11683,14122,12724,13623,14735,11730
24,9307,13229,12067,9256,14007,12631,11588,14066,10482,8929,11974,12105,11259,10956,12987,11433,12893,10038,12482,11687,16458,13311,9526,13979,15014,11781,13074,15197,10857,16523,15865,13373,9016,9414,10984,12730,16748,10941,10950,9835,11719,10655,10956,8883,11637,14886,13571,14887,16354,13381,15610,16311,12856,13472,11465,12097,14378,16640,15484,14675,11876,11166,13362,9029,13758,14179,15259,13807,10024,10056,14107,9923,14713,12624,10942,13123,10684,13960,14066,9704,11704,10172,9756,11431,11504,12160,12853,13356,12327,16146,15055,12907,10336,9443,12423,13886,14426,14039,13182,14232,16908,11630,14605,10173,13280,9508,10646,10227,9742,10077,9416,8489,10442,9370,12845,11596,14301,11873,9497,12295,15005,13075,10868,11814,9250,8704,10427,11411,13223,11361,11941,9619,12628,8264,8864,10966,13437,11110,10847,13831,11309,14314,10419,10845,6703,9220,10887,12002,10067,14069,14228,10552,9335,9474,11837,10473,11449,9157,10630,10993,8604,10360,11828,10195,11894,11017,13519,10946,12774,10883,12442,11031,9842,8309,8887,9934,13925,10974,9528,14227,14055,9853,13250,16227,14627,12208,11660,14333,11443,12930,13862,13077,14275,14108,10211,11866,18583,15693,11420,9388,12540,12637,19697,15288,14867,12008,13454,13271,12089,14363,10752,14754,11127,12785,9729,14916,15705,9678,11096,12610,10801,13299,15745,14939,13843,12871,13946,10082,12961,12952,11672,11101,9220,16434,12937,10793,8639,9017,11534,11808,12148,11442,10376,13502,11336,12270,12511,12224,12118,11579,12850,13554,12335,14721,11327,16294,10375,9814,13374,11000,9973,10781,11345,10417,9705,11115,9133,11504,11567,12077,13354,11788,12080,14456,12130,14200,11432,13035,10917,11538,10865,12303,13288,11291,10654,11901,12492,13682,11092,11531,12638,8670,8384,11555,11381,13532,12241,12677,14573,11655
27,8938,12578,11992,8961,13819,12271,11552,13959,10161,8782,12071,11862,10874,10409,12808,10994,12730,9732,11392,11717,16111,13045,9324,13615,14445,12337,12490,15162,11249,16003,16114,13116,8868,8989,11028,13007,16791,11024,10892,9864,11857,10780,10565,8928,11494,15430,12934,14387,15745,13379,15421,16416,12527,13456,11512,11804,13711,16523,14720,14682,11633,10939,12827,8866,13630,13800,15324,13848,9818,10186,14262,9712,14387,13023,10664,12870,10586,14256,14028,9218,11946,9924,9371,11260,11810,12167,12371,13534,11824,15501,15319,12649,10461,9447,12508,13577,14380,13840,13191,13743,16633,11350,14184,9937,13330,9344,10345,9962,10020,10204,9243,8068,10636,9408,12621,11429,13933,11905,9534,12297,13887,12520,10770,11387,9126,8551,10564,11192,12961,11447,11684,9301,12842,7881,8981,11147,13006,10793,11282,13548,11159,14729,10149,10879,6558,9237,10698,11826,9901,13568,13754,10253,9560,9335,11695,10370,11065,8966,10776,11083,8615,10193,11518,10372,12263,10731,13420,11057,12358,11227,11886,10785,9701,8326,8648,9560,13752,10660,9593,14214,14098,10047,12852,15671,14164,12318,11377,14432,11239,12805,13721,13086,14042,14140,9817,11042,18450,15337,11761,9455,12109,12411,19225,15241,14990,12220,13617,12800,12386,14028,10638,14869,10710,12251,9452,15103,15454,9624,10923,12680,10553,12804,15804,15305,13083,12708,13782,9878,12878,12756,11825,10518,9062,16150,12972,10967,8736,8918,11061,11897,12123,11252,10612,13370,10980,11990,12757,12009,11671,11616,12823,13613,12086,14594,11508,16253,10221,9911,13485,11212,9738,10478,11454,10452,9242,11167,9263,11703,11583,11692,13360,11456,12038,14245,11740,13765,10511,12367,10961,11416,10560,12269,13205,12047,10372,11468,12532,13832,10615,11020,12716,8428,8188,11858,10928,13517,12451,12291,14681,11247
